id,center,class,subclass,bbox,convex,headtail,orient,relevance,mark_tool
"22310.png","445.62 232.75","Unknown","NULL","414.50 189.00 476.75 276.50","472.50 264.50 456.00 276.50 428.00 267.00 414.50 235.50 415.50 204.00 426.25 189.00 440.25 195.00 452.25 202.25 461.75 209.75 462.50 219.25 467.75 227.00 474.25 236.75 476.75 250.50","NULL","NULL",0,"ConvexHull"
"25298.png","663.75 448.75","Unknown","NULL","554.50 408.50 773.00 489.00","554.50 448.50 587.50 434.50 617.50 417.50 654.50 408.50 685.00 420.50 713.00 410.00 738.00 412.00 764.00 423.00 773.00 447.50 769.00 469.50 753.00 475.00 741.00 476.50 730.50 486.50 711.00 489.00 683.50 483.00 668.50 469.50 647.50 467.00 626.50 477.50 599.50 485.00 569.00 474.50 560.00 460.00","NULL","NULL",0,"ConvexHull"
"25298.png","414.75 497.00","Unknown","NULL","378.50 449.50 451.00 544.50","381.50 460.25 395.75 451.50 423.25 449.50 441.00 457.50 449.75 474.75 451.00 500.25 447.50 519.25 438.50 534.25 426.00 544.50 410.75 539.25 397.50 524.75 388.25 505.75 381.75 493.25 378.50 478.75","NULL","NULL",0,"ConvexHull"
"25298.png","286.50 444.25","Unknown","NULL","246.75 402.25 326.25 486.25","326.25 455.50 304.50 470.00 274.25 486.25 256.00 485.00 250.50 467.00 248.50 448.75 246.75 430.00 255.50 410.50 265.00 406.00 277.25 402.25 287.75 406.00 303.75 418.25 321.00 436.50","NULL","NULL",0,"ConvexHull"
"25298.png","501.88 331.50","Unknown","NULL","453.50 292.75 550.25 370.25","471.50 370.25 459.75 356.25 453.50 342.00 465.50 323.50 484.50 308.00 491.75 300.50 505.00 295.75 517.25 292.75 529.25 293.75 538.00 295.75 543.00 301.25 550.25 309.00 547.00 324.50 541.75 338.00 533.25 349.75 521.75 356.00 505.50 364.50 489.00 370.25","NULL","NULL",0,"ConvexHull"
"25641.png","630.00 212.00","Unknown","NULL","602.50 194.75 657.50 229.25","613.50 201.25 625.25 194.75 642.00 200.00 655.75 209.75 657.50 219.75 654.75 223.75 645.50 226.75 633.75 229.25 624.00 227.75 615.00 227.50 606.25 226.50 602.50 217.75 604.00 206.00","NULL","NULL",0,"ConvexHull"
"25689.png","584.75 84.25","Unknown","NULL","540.00 53.00 629.50 115.50","604.50 114.00 576.00 115.50 556.50 112.50 540.00 81.00 548.50 59.50 565.00 54.50 580.00 53.00 595.00 63.00 607.00 69.50 621.00 74.50 629.50 82.50 622.50 92.50 614.50 98.50","NULL","NULL",0,"ConvexHull"
"26780.png","765.75 383.50","Unknown","NULL","732.00 328.50 799.50 438.50","742.00 339.00 752.00 328.50 769.00 329.75 789.00 351.50 799.50 369.50 798.00 409.00 790.00 428.50 776.50 438.50 758.50 435.00 744.00 423.00 735.50 390.50 732.00 369.00 734.00 349.50","NULL","NULL",0,"ConvexHull"
"26780.png","576.00 409.50","Unknown","NULL","534.50 357.50 617.50 461.50","614.50 382.00 617.50 396.00 597.50 421.00 566.00 448.50 545.75 461.50 534.50 461.00 540.00 435.00 545.00 413.00 557.50 387.50 576.50 367.50 586.50 357.50 596.50 361.50 605.50 373.00","NULL","NULL",0,"ConvexHull"
"26780.png","469.38 317.12","Unknown","NULL","421.75 239.25 517.00 395.00","481.50 252.00 501.00 239.25 513.00 242.50 517.00 265.50 514.50 290.25 502.75 309.00 491.00 327.75 470.75 353.00 459.75 359.25 452.50 373.50 437.50 390.00 422.25 395.00 421.75 378.50 426.75 353.25 431.00 332.75 441.00 309.75 452.00 292.25 464.25 275.25 476.25 259.00","NULL","NULL",0,"ConvexHull"
"26780.png","334.62 196.38","Unknown","NULL","298.75 141.25 370.50 251.50","324.75 149.50 330.75 141.25 340.75 148.50 340.00 163.75 347.50 175.50 363.75 180.75 370.50 196.50 361.50 211.75 345.50 234.00 330.75 250.75 313.50 251.50 300.50 241.50 298.75 210.75 301.75 187.50 311.00 164.25","NULL","NULL",0,"ConvexHull"
"26780.png","671.88 199.00","Unknown","NULL","635.50 159.75 708.25 238.25","647.75 214.50 635.50 197.00 644.50 174.50 658.00 163.75 673.25 159.75 689.25 162.50 703.50 169.25 706.00 190.25 708.25 214.75 701.25 232.25 684.00 238.25 675.25 233.75 673.50 211.50 658.25 215.00","NULL","NULL",0,"ConvexHull"
"26780.png","732.38 192.12","Unknown","NULL","710.75 156.50 754.00 227.75","724.50 169.00 729.50 156.50 742.25 168.75 754.00 177.50 746.00 199.25 735.25 222.00 723.25 227.75 713.25 218.75 710.75 206.75 719.00 195.00 720.50 178.00","NULL","NULL",0,"ConvexHull"
"26780.png","380.38 257.12","Unknown","NULL","359.75 234.50 401.00 279.75","364.25 278.25 359.75 272.25 361.25 254.75 365.00 245.75 369.75 238.25 379.50 234.50 391.25 238.75 399.75 243.50 401.00 251.75 398.75 259.75 390.75 266.25 383.00 274.50 373.00 279.75","NULL","NULL",0,"ConvexHull"
"26780.png","415.38 284.50","Unknown","NULL","380.25 240.75 450.50 328.25","387.50 326.50 382.25 317.50 380.25 302.25 385.75 285.50 389.75 274.50 396.25 266.00 403.50 259.75 411.00 251.00 420.00 248.25 427.50 241.00 437.25 240.75 444.50 245.25 449.25 248.25 450.50 258.75 449.50 268.75 446.75 283.00 441.00 292.00 432.25 302.25 423.50 311.00 412.75 318.25 403.50 327.75 395.50 328.25","NULL","NULL",0,"ConvexHull"
"26780.png","520.62 407.88","Unknown","NULL","465.50 332.75 575.75 483.00","465.50 482.50 466.00 464.25 469.50 446.00 478.25 431.00 487.75 414.75 496.25 400.50 506.00 376.50 511.75 357.25 523.25 341.75 539.50 332.75 550.75 336.25 568.00 338.50 574.00 344.00 575.75 355.00 561.50 368.00 548.38 382.75 536.25 390.50 526.75 405.00 520.25 415.75 510.25 430.75 502.75 445.00 498.00 459.25 488.50 473.00 479.00 480.75 473.00 483.00","NULL","NULL",0,"ConvexHull"
"26780.png","612.50 476.00","Unknown","NULL","564.50 422.50 660.50 529.50","572.25 527.00 564.50 517.25 568.25 496.25 578.00 478.25 590.00 468.00 603.75 452.75 612.25 429.50 618.50 422.50 634.25 426.25 646.50 435.50 655.50 453.25 660.50 471.00 657.25 486.75 650.25 495.50 639.50 498.75 625.75 499.50 616.75 510.50 605.50 521.00 594.25 527.25 584.00 529.50","NULL","NULL",0,"ConvexHull"
"26780.png","672.50 426.62","Unknown","NULL","649.00 396.00 696.00 457.25","671.25 456.75 660.50 451.50 652.00 440.25 649.00 428.75 649.00 417.50 655.75 411.00 667.75 403.25 675.75 397.75 682.75 396.00 691.00 403.50 693.75 414.50 695.00 427.25 696.00 438.25 689.25 448.50 682.25 455.75 679.25 457.25","NULL","NULL",0,"ConvexHull"
"26780.png","700.25 381.38","Unknown","NULL","679.50 351.25 721.00 411.50","705.75 411.50 697.25 404.50 689.75 390.50 679.50 373.00 679.50 364.25 687.75 353.75 695.00 351.25 706.00 351.50 719.00 357.25 720.00 371.00 721.00 390.50 719.50 400.75 716.50 406.25 712.25 410.25","NULL","NULL",0,"ConvexHull"
"26780.png","821.88 467.75","Unknown","NULL","764.50 310.50 879.25 625.00","768.62 622.38 764.75 610.50 764.50 593.75 772.25 580.25 786.25 562.75 796.25 548.25 802.75 537.00 811.25 521.25 817.00 511.06 824.50 498.50 826.25 478.25 823.25 451.50 823.25 431.75 823.25 414.75 824.50 379.50 821.00 350.50 822.25 334.12 830.00 322.62 836.88 314.38 853.00 312.38 869.00 310.50 876.25 316.88 879.25 332.50 876.75 353.00 875.25 370.50 868.75 392.25 869.75 409.00 871.50 441.50 866.50 480.00 859.00 513.25 852.50 537.75 846.50 554.75 839.50 575.25 834.25 589.25 824.25 605.00 813.00 614.25 798.75 622.25 783.75 625.00","NULL","NULL",0,"ConvexHull"
"26780.png","920.25 401.88","Unknown","NULL","892.50 304.25 948.00 499.50","899.75 499.19 895.44 494.44 892.50 472.25 896.25 453.25 897.50 426.50 897.00 400.25 896.75 382.50 898.00 356.75 901.75 334.00 907.50 311.00 914.25 304.25 923.75 309.75 937.50 315.50 948.00 327.50 945.75 349.50 941.00 372.50 940.50 389.00 933.38 404.75 929.62 419.50 928.50 438.00 923.12 449.62 918.25 461.25 915.75 476.75 912.25 486.75 906.50 499.50","NULL","NULL",0,"ConvexHull"
"27128.png","15.00 556.75","Unknown","NULL","3.50 512.00 26.50 601.50","16.00 512.00 20.00 516.00 23.00 531.00 25.00 571.50 26.50 601.50 14.00 594.00 4.00 580.50 3.50 557.50 3.50 539.00 10.25 517.50","NULL","NULL",0,"ConvexHull"
"27128.png","429.50 435.50","Unknown","NULL","406.50 393.50 452.50 477.50","435.00 477.50 414.75 465.00 409.00 434.25 406.50 411.00 414.50 397.50 425.25 393.50 437.75 399.25 451.25 420.50 452.50 439.25 451.00 457.25 447.25 468.50","NULL","NULL",0,"ConvexHull"
"27128.png","595.06 579.97","Unknown","NULL","560.12 430.44 630.00 729.50","590.50 729.50 586.00 706.50 573.00 696.50 572.00 691.00 571.50 681.50 573.00 662.00 572.00 644.75 574.81 627.19 576.00 606.38 574.50 582.75 571.50 561.50 567.75 537.75 566.25 514.50 561.75 493.25 560.12 469.88 562.94 449.62 565.62 438.88 569.12 433.50 573.62 430.44 581.12 430.62 589.25 433.69 597.06 443.56 600.62 452.00 605.38 469.75 607.25 482.12 607.50 498.75 610.38 510.25 613.38 527.62 613.25 542.75 615.12 567.25 621.12 587.38 626.12 602.62 629.25 620.25 630.00 638.38 626.88 662.62 627.12 681.25 625.38 699.88 621.62 705.62 608.88 708.00 601.50 714.00 594.38 721.38","NULL","NULL",0,"ConvexHull"
"27128.png","468.00 705.50","Unknown","NULL","425.50 594.75 510.50 816.25","443.50 814.00 431.50 796.00 425.50 766.00 434.50 732.50 452.00 713.50 458.00 684.50 467.25 655.25 471.50 633.50 482.50 612.00 489.25 597.25 499.00 594.75 508.00 600.50 510.50 620.75 509.25 653.00 506.75 684.50 503.75 711.50 500.00 743.25 499.00 764.25 490.25 773.25 485.75 776.38 480.50 779.38 475.75 784.00 471.25 787.75 468.25 792.25 467.00 799.38 470.62 804.75 469.12 816.00 457.25 816.25 450.00 816.00","NULL","NULL",0,"ConvexHull"
"27128.png","424.06 632.88","Unknown","NULL","381.38 534.75 466.75 731.00","397.00 731.00 381.38 718.12 381.75 710.38 386.88 703.00 406.50 694.50 412.88 681.75 411.75 665.12 413.50 640.50 418.25 608.25 422.75 586.25 429.00 564.25 433.50 549.88 439.25 540.00 446.62 535.62 452.00 534.75 457.38 537.62 461.12 545.00 460.88 554.38 463.88 573.12 466.75 589.75 466.25 614.25 464.00 633.25 459.25 654.75 451.50 675.75 446.75 691.75 439.50 703.50 434.00 711.75 426.25 718.75 418.75 724.50 408.00 727.75","NULL","NULL",0,"ConvexHull"
"27128.png","162.25 533.88","Unknown","NULL","112.75 413.25 211.75 654.50","149.25 654.50 137.75 638.00 133.50 618.00 120.25 610.75 112.75 604.50 112.75 594.25 118.00 584.25 128.75 574.25 141.75 556.00 153.25 542.75 165.50 536.75 168.50 507.50 171.50 481.00 175.25 461.50 183.75 442.75 192.25 425.50 201.50 413.25 205.75 414.75 208.50 420.50 211.25 434.25 211.75 454.25 211.50 476.75 209.25 504.75 206.00 531.00 203.75 553.75 196.50 573.75 190.25 591.50 184.25 613.00 175.75 626.00 167.50 640.00 158.25 652.00","NULL","NULL",0,"ConvexHull"
"28791.png","685.12 788.12","Unknown","NULL","627.25 749.25 743.00 827.00","743.00 793.25 742.00 798.75 738.25 801.50 733.25 806.50 724.25 812.25 714.50 817.50 700.75 820.00 684.75 821.75 667.50 824.75 653.00 827.00 639.25 823.50 629.25 801.50 627.25 782.25 634.25 762.00 643.75 752.00 658.50 749.25 670.50 751.50 685.50 757.75 700.00 759.50 711.25 762.00 722.62 768.62 729.38 774.50 734.75 781.50 741.12 788.62","NULL","NULL",0,"ConvexHull"
"28791.png","562.12 786.25","Unknown","NULL","525.00 736.75 599.25 835.75","593.00 792.00 591.25 822.00 579.75 835.25 560.50 835.75 540.25 827.75 531.00 813.25 525.00 795.75 526.25 776.50 533.25 763.50 559.25 741.25 577.00 736.75 589.00 741.75 595.25 753.25 599.25 769.25","NULL","NULL",0,"ConvexHull"
"28791.png","294.00 381.75","Unknown","NULL","271.75 357.00 316.25 406.50","274.75 404.50 271.75 381.25 276.25 365.25 290.25 357.00 305.75 363.25 316.25 373.00 315.75 384.00 303.75 398.50 288.25 406.50","NULL","NULL",0,"ConvexHull"
"28791.png","346.25 563.25","Unknown","NULL","304.25 516.50 388.25 610.00","351.50 596.50 339.50 610.00 319.75 601.25 304.75 585.50 304.25 558.00 310.00 533.25 320.00 516.50 337.00 516.50 352.25 530.00 366.75 535.25 381.50 548.25 388.25 562.50 382.00 578.75 369.75 587.00","NULL","NULL",0,"ConvexHull"
"28791.png","384.75 667.00","Unknown","NULL","340.00 632.75 429.50 701.25","390.50 701.25 367.25 700.50 351.75 688.50 340.00 669.25 349.50 656.25 363.25 644.75 384.50 637.00 406.50 632.75 422.50 636.25 428.25 644.25 429.50 659.75 417.00 685.00 406.25 699.75","NULL","NULL",0,"ConvexHull"
"28791.png","454.00 488.50","Unknown","NULL","361.75 446.00 546.25 531.00","520.00 531.00 499.25 530.75 475.25 528.00 451.50 526.50 429.25 524.50 410.50 514.25 384.75 504.25 366.25 492.50 361.75 485.25 363.00 473.75 364.75 460.75 366.75 456.00 371.50 448.50 381.75 446.00 399.25 447.00 417.75 448.75 430.75 454.00 440.75 457.25 452.50 457.50 461.75 459.25 475.50 462.00 483.25 463.75 498.25 460.75 507.75 453.50 518.75 452.25 531.00 451.25 541.00 454.00 546.25 474.50 545.25 490.00 542.75 502.00 536.25 515.00 526.50 525.25","NULL","NULL",0,"ConvexHull"
"28791.png","855.38 712.62","Unknown","NULL","817.50 628.25 893.25 797.00","825.25 797.00 819.75 796.25 817.50 787.00 827.50 769.50 834.75 750.50 838.75 734.50 841.50 720.75 845.50 707.50 843.50 693.50 842.00 678.00 844.75 661.00 858.00 642.50 865.25 634.75 876.50 628.25 882.75 629.00 886.50 633.25 891.75 643.50 893.25 657.50 891.50 671.00 886.00 683.00 880.25 699.00 870.75 717.75 867.50 729.50 863.00 738.50 858.00 747.75 848.50 762.00 840.25 779.00 834.25 789.75","NULL","NULL",0,"ConvexHull"
"29180.png","427.75 483.00","Unknown","NULL","373.50 405.25 482.00 560.75","379.00 453.50 373.50 424.50 390.00 405.50 403.75 405.25 423.50 413.50 439.75 431.50 448.00 458.25 444.50 472.50 451.25 490.00 473.25 523.75 482.00 547.00 478.00 560.75 467.00 558.75 454.25 548.25 444.25 536.25 438.50 517.00 423.00 506.50 401.50 493.50 389.50 471.00","NULL","NULL",0,"ConvexHull"
"31406.png","337.48 289.38","Unknown","NULL","302.48 246.25 372.48 332.50","368.23 276.02 372.48 300.02 369.73 317.27 357.73 324.52 346.48 328.27 336.00 332.50 322.98 331.02 312.98 316.52 302.48 299.77 304.25 279.75 311.75 267.00 326.25 251.00 339.25 246.25 353.50 252.25 361.50 264.50","NULL","NULL",0,"ConvexHull"
"31727.png","415.62 865.62","Unknown","NULL","397.50 834.50 433.75 896.75","425.75 896.75 406.00 896.25 400.00 876.50 397.50 863.75 405.25 846.75 414.50 834.50 429.75 846.75 433.75 862.25 433.25 880.50","NULL","NULL",0,"ConvexHull"
"3303.png","248.75 832.00","Unknown","NULL","209.00 802.00 288.50 862.00","209.00 818.25 213.50 803.50 233.50 802.00 264.00 808.50 282.50 822.50 288.50 844.00 283.50 862.00 269.00 859.50 258.50 854.00 239.50 844.00 222.00 836.00","NULL","NULL",0,"ConvexHull"
"351.png","219.75 255.38","Unknown","NULL","193.25 194.75 246.25 316.00","193.25 278.75 199.25 244.00 205.25 220.00 212.50 206.25 225.50 196.50 237.25 194.75 245.50 199.50 246.25 214.75 240.75 226.00 239.75 246.50 242.25 261.25 240.25 276.00 238.25 287.75 233.50 301.25 223.50 313.50 211.75 316.00 204.50 313.50 196.75 300.25","NULL","NULL",0,"ConvexHull"
"351.png","822.25 429.75","Unknown","NULL","786.00 383.50 858.50 476.00","786.00 401.00 788.50 427.50 796.00 455.00 804.00 469.00 815.50 475.50 828.50 476.00 844.50 467.00 852.50 448.50 856.50 429.50 858.50 409.00 857.00 388.00 786.00 383.50","NULL","NULL",0,"ConvexHull"
"4062.png","898.50 326.38","Unknown","NULL","873.50 278.25 923.50 374.50","876.25 330.25 878.50 301.50 880.25 284.75 888.50 278.25 900.75 282.25 910.75 293.00 921.00 317.75 923.50 336.25 922.75 349.25 918.25 362.50 907.75 372.00 894.00 374.50 878.50 364.25 873.50 349.25","NULL","NULL",0,"ConvexHull"
"4062.png","577.75 752.25","Unknown","NULL","532.00 709.00 623.50 795.50","621.50 762.50 623.50 772.00 620.50 787.00 606.50 790.00 589.50 795.50 573.00 794.50 559.50 787.00 555.50 778.50 547.50 768.00 541.50 756.50 536.00 744.50 532.00 733.00 545.50 735.00 560.50 732.00 573.50 723.00 581.00 714.50 599.00 709.00 617.00 721.50 619.00 732.00 619.50 742.50 620.00 753.50","NULL","NULL",0,"ConvexHull"
"4062.png","711.56 616.56","Unknown","NULL","602.62 508.62 820.50 724.50","782.75 724.50 771.00 720.50 756.50 703.50 751.00 689.25 747.50 676.25 746.50 661.25 747.75 644.25 744.75 627.50 730.50 611.25 714.25 589.00 702.25 579.25 689.75 568.00 672.00 559.75 651.75 558.25 623.00 557.25 606.62 553.50 602.62 544.25 603.88 537.88 607.50 532.62 621.25 521.38 634.75 515.12 645.62 510.88 664.62 508.62 683.50 510.12 706.50 522.25 722.25 532.50 731.25 539.25 738.75 543.50 747.75 552.00 758.00 564.75 768.25 579.75 780.50 604.50 788.75 624.25 805.00 640.25 819.75 668.25 820.50 688.50 815.25 701.00 802.75 716.00 795.50 721.00","NULL","NULL",0,"ConvexHull"
